ECLID	DESCRIPTION	QTY	SALES	COGS-GP	GP-PCT
2216	BPORT 245-DC 2-IN S/SCR CR EMT CPLG	71	103.23	20.65	20.0
2218	BPORT 247-DC 3-IN S/SCR CR EMT CPLG	18	57.22	11.51	20.1
2220	BPORT 249-DC 4-IN S/SCR CR EMT CPLG	18	76.39	15.39	20.1
2222	BPORT 250-DC2 1/2 COMP EMT CONN	10	2.30	0.46	20.0
2223	BPORT 250-RT2 1/2-IN R/T COMP CONN	5	2.64	0.53	20.1
2224	BPORT 251-DC2 3/4 COMP EMT CONN	8	3.27	0.66	20.2
2226	BPORT 251-RT2 3/4-IN R/T COMP CONN	22	16.50	3.30	20.0
2227	BPORT 252-DC2 1-IN COMP EMT CONN	6	4.03	0.81	20.1
2230	BPORT 253-DC2 1-1/4 COMP EMT CONN	6	6.69	1.35	20.2
2233	BPORT 255-DC2 2-IN COMP EMT CONN	5	11.59	2.33	20.1
38110	BPORT 255-RT2 2-IN R/T COMP CONN	9	33.96	6.79	20.0
2241	BPORT 260-DC 1/2 COMP EMT CPLG	10	3.63	0.73	20.1
2243	BPORT 261-DC 3/4 COMP EMT CPLG	18	8.38	1.67	19.9
2244	BPORT 261-RT 3/4-IN R/T COMP CPLG	25	19.53	3.90	20.0
2247	BPORT 263-DC 1-1/4 COMP EMT CPLG	16	21.51	4.96	23.1
2249	BPORT 265-DC 2-IN COMP EMT CPLG	8	20.56	4.11	20.0
38111	BPORT 265-RT 2-IN COMP CPLG	20	74.18	14.84	20.0
2258	BPORT 323 1-IN 105D PLASTIC BUSHING	4	0.46	0.14	30.4
2259	BPORT 324 1-1/4 105D PLASTIC BUSHIN	15	2.25	0.85	37.8
2261	BPORT 326 2-IN 105D PLASTIC BUSHING	13	4.61	1.48	32.1
2263	BPORT 328 3-IN 105D PLASTIC BUSHING	4	3.19	1.00	31.3
3974	BPORT 4361-DC 3/4 LT/EMT CPLG	2	11.02	2.67	24.2
2271	BPORT 520-DC2 1/2-IN FLEX CONN	845	186.60	29.86	16.0
2273	BPORT 521-DC2 3/4-IN FLEX CONN	1469	807.95	106.64	13.2
2275	BPORT 522-DC2 1-IN FLEX CONN	111	98.79	19.72	20.0
2277	BPORT 523-DC2 1-1/4-IN FLEX CONN	120	254.06	40.66	16.0
2280	BPORT 530-DC 1/2 SCR-IN FLEX CPLG	162	95.57	24.80	25.9
2281	BPORT 531-DC 3/4 SCR-IN FLEX CPLG	75	72.57	18.77	25.9
2282	BPORT 532-DC 1-IN SCR-IN FLEX CPLG	25	42.16	10.91	25.9
2285	BPORT 535-DC 2-IN SCR-IN FLEX CPLG	3	29.18	7.55	25.9
2289	BPORT 581-DC 1/2 EMT TO FLEX CPLG	40	37.29	7.47	20.0
2290	BPORT 582-DC 3/4 EMT TO FLEX CPLG	99	130.87	26.21	20.0
2291	BPORT 583-DC 1-IN EMT TO FLEX CPLG	73	135.20	27.02	20.0
